CustomerID,Recency,Frequency,Monetary,Cluster
16503,106,4,1431.9299999999998,0
17420,50,3,598.8299999999999,3
15727,16,7,5178.96,3
17389,0,34,31833.68,2
13285,23,4,2709.1199999999994,3
15447,330,1,155.17,0
13623,30,5,747.7800000000001,3
14450,180,3,483.25,0
14570,280,2,218.05999999999997,0
16339,284,1,109.95000000000002,0
16386,28,2,317.2,3
16861,59,2,173.76,3
18024,152,2,389.78000000000003,0
17679,52,2,1992.1100000000006,3
12940,54,2,913.5400000000002,3
16574,71,1,451.43999999999977,3
15957,31,1,428.88999999999993,3
15619,10,1,336.40000000000003,3
15790,10,1,220.84999999999997,3
13832,19,1,52.199999999999996,3
12471,2,30,19824.05,3
15100,333,3,876.0,0
16916,23,2,576.2599999999999,3
16500,4,6,400.86,3
18161,15,5,1618.69,3
12626,23,9,6620.48,3
14465,246,3,1058.62,0
14514,61,3,1055.35,3
15967,23,2,418.83000000000004,3
14536,259,1,171.8,0
18218,211,2,662.08,0
13261,268,2,944.1,0
14075,4,3,942.26,3
14423,218,1,265.2,0
14148,233,1,157.2,0
18282,7,2,178.05,3
15004,147,1,1246.3199999999995,0
15254,127,1,300.36000000000007,0
12715,106,1,353.85999999999996,0
17172,78,1,317.76,3
12367,4,1,168.9,3
12611,52,1,1193.32,3
15738,18,16,4812.42,3
17809,16,12,5411.910000000001,3
16791,29,7,1721.7799999999993,3
12393,72,4,1582.6000000000001,3
13875,53,5,1786.79,3
15296,50,6,3672.8599999999997,3
14289,8,6,911.26,3
17708,187,2,267.08,0
14377,191,2,617.05,0
17754,0,5,1772.26,3
13060,253,1,307.53000000000003,0
17775,254,1,56.4,0
17783,72,2,283.47,3
13601,45,2,693.3199999999999,3
15655,243,1,560.67,0
14837,89,4,1649.5,3
16283,5,5,1570.8099999999995,3
18221,22,5,1041.61,3
17837,42,8,1593.3799999999999,3
14997,46,3,546.2,3
13207,15,2,250.26000000000005,3
16924,21,3,846.7500000000001,3
14420,99,1,387.52,0
13483,65,1,140.34000000000003,3
16680,43,1,183.70000000000002,3
14714,24,1,160.19,3
17044,25,1,948.48,3
18043,24,3,559.51,3
17223,310,2,426.78999999999996,0
13898,325,1,155.93,0
15382,14,6,5955.709999999999,3
16224,57,4,1295.2999999999997,3
14315,44,6,2481.1299999999997,3
14958,147,3,499.67999999999995,0
13508,243,1,110.97,0
17193,35,7,1699.3000000000002,3
16828,93,2,128.5,0
15604,52,1,216.39000000000001,3
17712,44,1,522.91,3
13188,11,1,114.60000000000001,3
14713,9,11,2666.36,3
13225,3,7,6463.84,3
16565,364,1,173.7,0
13329,31,2,788.9999999999999,3
17950,72,3,482.20000000000005,3
14779,280,3,386.15,0
14944,29,12,5900.25,3
15535,173,4,536.4,0
14770,232,2,876.4200000000001,0
15292,201,1,180.93999999999997,0
17190,58,2,444.74,3
16232,43,4,990.88,3
16094,11,4,1078.23,3
13398,192,1,457.3400000000001,0
16706,37,3,531.3500000000001,3
14660,86,2,285.74,0
16999,23,2,484.82,3
15429,26,2,397.35,3
13504,64,1,295.93,3
17154,75,1,329.34000000000003,3
12607,60,1,1579.51,3
15740,49,1,154.88000000000002,3
13923,53,1,351.13000000000005,3
17836,47,1,110.21,3
14752,43,1,389.63999999999993,3
16117,189,1,232.21,0
15070,372,1,106.2,0
17346,3,15,2676.5600000000004,3
16549,10,10,4154.64,3
13468,1,37,5704.97,3
16510,372,1,248.10000000000002,0
15221,366,1,403.25,0
16985,17,10,5464.12,3
16027,91,6,934.62,3
15146,164,2,1327.1600000000005,0
15026,80,3,469.0,3
17438,253,1,388.45000000000005,0
15594,15,5,1771.7799999999997,3
16526,171,1,290.35999999999996,0
12694,70,2,869.6699999999998,3
15462,94,3,234.60000000000002,0
13500,23,3,1166.77,3
14124,84,1,419.58000000000004,0
16295,9,4,1328.5499999999997,3
14054,65,1,92.46,3
16119,8,2,423.36,3
16506,19,2,90.30000000000001,3
15983,22,4,1475.02,3
17677,1,30,16363.230000000003,3
14030,18,8,2360.09,3
16255,16,8,2619.91,3
15827,73,14,1836.0900000000001,3
17213,40,7,2781.2300000000005,3
13313,22,5,1555.32,3
12530,59,4,1662.2800000000002,3
14477,19,4,1309.6,3
17613,22,14,4559.15,3
15781,25,3,345.46000000000004,3
14245,219,2,1693.4499999999998,0
12717,151,2,1030.98,0
13544,39,2,291.4100000000001,3
15584,23,4,725.1099999999999,3
16257,176,1,46.95,0
14284,30,2,595.25,3
15216,87,1,96.6,0
16601,40,1,244.79999999999995,3
16505,31,1,777.6,3
17904,21,1,191.66999999999993,3
15157,3,3,1936.07,3
14532,236,4,932.8499999999999,0
17396,39,8,7330.8,3
17392,306,2,457.91,0
16954,0,9,2085.08,3
17924,11,7,2962.5000000000005,3
16835,128,2,180.85,0
12727,10,7,3980.7000000000007,3
14760,297,1,89.2,0
12559,310,2,561.7099999999999,0
16766,273,2,1145.6,0
17462,60,2,675.69,3
12757,15,13,7857.0999999999985,3
16947,235,1,406.48000000000013,0
12723,3,5,725.0699999999999,3
15348,72,1,158.03999999999996,3
15634,17,1,243.55,3
17502,9,4,689.1000000000001,3
16800,11,1,1201.4900000000002,3
18174,7,1,104.0,3
15973,366,1,307.82,0
17969,166,2,228.2,0
14437,365,1,63.0,0
15164,68,3,843.0499999999998,3
17525,359,1,422.70000000000005,0
12401,303,1,84.3,0
15270,15,7,2379.49,3
12523,19,11,1789.77,3
16317,119,3,1341.65,0
17774,96,4,1225.41,3
17972,241,1,136.04,0
17926,133,2,397.29,0
17265,138,2,562.8999999999999,0
12436,99,1,509.01000000000005,0
15091,67,1,480.71,3
16648,42,1,290.65999999999997,3
18014,28,1,166.42000000000002,3
15904,8,1,164.67999999999998,3
14085,2,18,4448.539999999999,3
15658,190,5,1024.1000000000001,0
17430,32,2,265.76,3
13494,311,1,316.26,0
13046,30,2,629.31,3
17639,276,1,108.5,0
13516,21,3,1389.4099999999999,3
15491,95,6,3100.0899999999997,3
13003,105,3,149.05,0
16813,8,10,1692.9799999999998,3
14658,5,2,247.15,3
17554,1,5,1952.4499999999998,3
13967,145,1,80.7,0
17253,18,1,178.26,3
15093,18,6,4597.02,3
14589,371,1,39.75,0
15497,17,2,1262.2,3
16738,297,1,3.75,0
16913,290,1,113.44000000000001,0
13751,288,1,296.24999999999994,0
13720,116,4,799.9000000000001,0
17388,77,4,1259.5600000000002,3
16801,163,4,1619.73,0
14064,29,5,1353.74,3
17588,100,3,1240.2,0
13994,3,6,2313.14,3
14332,22,3,866.31,3
12384,28,2,585.27,3
16968,4,2,439.43000000000006,3
14801,61,1,193.1399999999999,3
15557,28,1,473.65,3
16274,373,1,357.94999999999993,0
16125,367,1,289.35,0
12494,15,7,1246.1,3
18085,330,2,689.95,0
13368,256,2,623.4,0
12755,280,2,3811.95,0
12782,4,5,2330.92,3
15716,145,4,1118.81,0
14715,24,4,867.3799999999999,3
14935,297,1,1784.7099999999998,0
12854,78,3,1324.5,3
17508,280,1,387.31,0
16721,262,1,292.46999999999997,0
14336,16,4,1614.9099999999999,3
12355,214,1,459.4,0
18193,165,1,243.76000000000005,0
12837,173,1,134.1,0
15850,19,2,238.85000000000008,3
17347,86,1,228.96,0
12566,86,1,351.65000000000003,0
18105,37,1,113.48000000000002,3
18030,4,2,230.64999999999998,3
13066,24,2,470.80000000000007,3
15637,52,1,223.36,3
13594,52,1,396.96999999999997,3
17397,22,2,696.4099999999999,3
13170,26,1,116.01000000000002,3
16532,17,3,6748.8,3
17001,0,11,3989.5699999999997,3
14044,26,4,652.82,3
14410,92,9,1105.07,3
14101,73,6,5976.789999999999,3
14501,183,2,251.21,0
13782,12,6,912.0,3
12362,3,10,5226.2300000000005,3
13220,78,4,819.29,3
15130,169,1,330.11,0
13745,162,1,300.03999999999996,0
16671,28,3,1692.27,3
15116,17,4,1352.75,3
17353,129,2,1740.0,0
16189,15,2,215.48,3
16930,26,3,380.5500000000001,3
13960,21,2,230.22,3
15844,46,1,130.74,3
14703,14,1,318.1699999999999,3
14180,10,25,4748.52,3
17059,29,5,3095.04,3
14525,19,9,4332.200000000001,3
16244,211,2,1522.7499999999995,0
18071,257,2,453.0,0
13027,113,6,6912.0,3
14555,57,2,324.14000000000004,3
13904,37,2,332.63999999999993,3
17678,263,1,298.10999999999996,0
12447,243,1,476.49,0
15840,58,2,355.56,3
13109,59,2,786.5400000000001,3
15253,16,5,918.2,3
15795,149,1,610.0100000000001,0
13726,38,2,1079.6599999999999,3
17647,65,1,133.06,3
15398,16,2,1345.53,3
18240,46,1,422.58000000000004,3
14554,10,4,2381.04,3
17297,17,1,131.78000000000006,3
15060,8,4,303.09,3
14733,16,12,9585.91,3
16455,63,7,1841.18,3
16265,9,9,5447.0,3
17890,322,2,602.09,0
16839,8,34,16594.35,3
15503,362,1,147.09000000000003,0
14776,51,11,2538.2999999999993,3
17147,22,4,1714.59,3
14367,8,16,9261.520000000002,3
14056,1,23,8214.650000000001,3
15234,276,1,197.0,0
17955,198,4,557.3,0
14117,143,1,90.0,0
13045,99,1,305.28,0
14687,106,1,628.3799999999999,0
18278,73,1,173.89999999999998,3
14642,58,1,96.12,3
17081,25,2,290.15999999999997,3
15096,42,1,219.39,3
16366,18,1,327.3,3
15923,372,1,127.08000000000003,0
12913,4,5,2483.63,3
13104,3,6,1098.48,3
12373,311,1,364.6,0
13873,119,3,389.6,0
16043,37,4,773.99,3
13166,283,1,417.19999999999993,0
12948,16,7,2064.95,3
15733,282,1,162.3,0
17542,269,1,170.75,0
14647,201,1,243.21999999999994,0
14177,86,4,559.4100000000001,3
12548,166,1,95.19999999999999,0
12453,134,1,707.0899999999999,0
12885,63,3,1175.2200000000003,3
16053,32,2,1511.9499999999996,3
15105,18,7,2298.93,3
14141,2,4,915.1300000000001,3
16684,4,28,66653.56,2
15260,100,7,1810.77,3
15062,71,4,987.8599999999999,3
15332,366,4,1661.06,0
18113,368,1,76.32000000000001,0
15024,9,10,1661.33,3
14419,10,6,1058.06,3
14496,311,2,538.81,0
12725,371,1,427.79999999999995,0
17463,16,5,1896.4099999999999,3
15262,323,1,178.95000000000002,0
13139,16,7,5064.9400000000005,3
15855,136,5,712.24,0
16175,94,4,1037.59,3
13052,212,1,348.15000000000003,0
15219,176,1,305.75,0
16774,67,4,661.52,3
18248,122,2,804.02,0
16012,35,3,1415.29,3
17070,114,1,312.13999999999993,0
17148,51,1,124.88,3
15531,8,2,2007.4400000000003,3
15426,19,5,1447.3899999999999,3
13523,33,5,3964.8799999999997,3
16326,5,14,3110.9599999999996,3
16553,163,12,5719.820000000001,0
12868,185,6,1607.06,0
16885,15,3,471.51,3
14062,9,12,10464.850000000002,3
12705,15,9,6868.289999999999,3
15370,40,7,2386.05,3
13301,103,4,618.0899999999999,0
12582,238,2,511.3599999999999,0
13946,79,3,561.5699999999999,3
15071,93,2,982.0699999999998,0
15132,18,5,977.9300000000001,3
12597,19,4,3811.2200000000016,3
16834,227,1,413.46000000000004,0
15073,9,3,1043.41,3
17709,169,1,137.45,0
16178,138,1,197.90000000000003,0
12865,26,2,1568.2299999999996,3
17637,31,2,547.0599999999998,3
18147,45,2,179.34,3
15263,106,1,156.50999999999996,0
18096,11,3,911.1499999999994,3
17737,9,2,168.24,3
17244,53,1,954.8999999999997,3
13081,11,11,28337.37999999999,3
15841,72,4,1224.06,3
12601,189,5,577.0600000000001,0
14644,67,2,830.7600000000001,3
15906,19,7,1567.6899999999998,3
16078,283,1,79.2,0
17312,138,3,644.3,0
14720,5,3,663.81,3
17584,7,2,1242.2999999999997,3
17053,130,1,498.47999999999996,0
13416,43,2,712.5,3
17014,8,3,586.33,3
16056,45,1,664.85,3
13040,8,2,676.99,3
16015,3,3,705.3900000000003,3
17549,23,2,148.85999999999999,3
14140,3,2,935.0499999999998,3
16352,17,2,494.44000000000005,3
16000,2,3,12393.7,3
13497,282,2,348.05,0
16150,42,5,2053.0200000000004,3
14961,10,9,7044.68,3
15485,30,3,2575.0,3
17496,358,1,271.04999999999995,0
13838,5,4,691.73,3
15203,25,6,1827.8000000000002,3
13038,80,3,908.46,3
16571,26,3,1421.69,3
15918,190,2,334.22999999999996,0
15599,26,2,761.74,3
13524,40,5,680.1800000000001,3
16266,73,7,861.89,3
