CustomerID,InvoiceNo,InvoiceDate,TotalPrice,LoyaltyScore,AvgBasketSize,Returns,SupportTickets,ReferralCount,AvgSessionTime,Age,Gender,Region,DeviceType,LastLoginDays,NewsletterSubscribed,PremiumMember,CampaignResponseRate,AvgDiscountUsed,AvgTimeBetweenPurchases,PreferredCategory
1000,221958,2025-06-16 16:05:47.391689,335.64,56,9.38,3,9,9,35.92,42,Male,West,Mobile,73,1,0,0.25,32.51,18.86,Clothing
1001,771155,2025-06-26 16:05:47.391689,227.22,40,7.21,4,1,12,47.37,33,Other,East,Mobile,114,1,1,0.92,4.52,28.1,Electronics
1002,231932,2025-01-21 16:05:47.391689,340.95,98,7.09,0,2,18,107.96,19,Female,North,Tablet,190,0,1,0.27,47.39,49.26,Electronics
1003,465838,2025-03-17 16:05:47.391689,137.37,40,2.94,0,5,10,81.64,35,Other,West,Mobile,169,0,0,0.9,12.93,55.87,Home
1004,359178,2025-10-20 16:05:47.391689,892.72,91,6.93,3,8,12,95.55,34,Male,South,Tablet,306,1,0,0.1,16.86,33.16,Clothing
1005,744167,2025-09-03 16:05:47.391689,601.72,77,4.54,3,8,7,57.25,47,Other,South,Desktop,203,1,0,0.66,20.11,40.03,Electronics
1006,210268,2025-03-24 16:05:47.391689,685.52,33,6.86,2,6,7,77.48,56,Female,South,Tablet,55,1,0,0.91,2.56,54.29,Home
1007,832180,2025-10-21 16:05:47.391689,793.39,6,1.96,3,2,3,33.56,30,Female,East,Desktop,207,0,0,0.17,24.83,6.81,Home
1008,154886,2025-10-14 16:05:47.391689,508.47,88,6.92,2,3,14,86.13,49,Male,South,Mobile,40,0,1,0.97,6.17,14.69,Home
1009,237337,2025-08-27 16:05:47.391689,105.18,19,9.99,0,5,10,54.17,67,Other,West,Mobile,31,0,1,0.45,20.05,42.83,Home
1010,621430,2025-12-08 16:05:47.391689,546.36,80,1.43,1,4,10,55.89,46,Other,West,Desktop,14,0,1,0.95,17.54,49.6,Home
1011,187498,2025-09-01 16:05:47.391689,595.1,40,9.79,4,1,0,79.67,63,Other,South,Mobile,61,0,1,0.68,38.64,51.56,Beauty
1012,999159,2025-05-31 16:05:47.391689,750.53,92,4.66,0,5,16,112.67,47,Female,West,Desktop,154,1,0,0.3,40.16,25.49,Clothing
1013,275203,2025-03-26 16:05:47.391689,443.03,97,8.84,3,2,14,12.36,35,Male,South,Mobile,283,0,0,0.19,7.67,6.27,Home
1014,291335,2024-12-28 16:05:47.391689,145.03,59,8.04,4,7,19,99.85,30,Other,South,Tablet,208,0,0,0.3,18.33,26.83,Beauty
1015,378167,2025-10-27 16:05:47.391689,298.1,59,6.1,1,1,5,38.62,60,Female,North,Mobile,319,1,1,0.09,18.67,14.61,Clothing
1016,141090,2024-12-23 16:05:47.391689,375.82,48,7.65,1,0,14,56.05,38,Female,East,Tablet,186,0,0,0.14,7.57,18.18,Electronics
1017,429365,2025-02-05 16:05:47.391689,653.0,41,8.91,2,8,8,7.52,47,Female,East,Tablet,129,0,0,0.1,39.92,46.56,Home
1018,164820,2025-02-08 16:05:47.391689,579.36,13,4.64,4,2,13,39.62,38,Other,North,Desktop,126,0,1,0.42,35.36,5.46,Beauty
1019,887201,2025-07-22 16:05:47.391689,368.97,45,3.94,2,0,17,62.8,65,Other,North,Mobile,291,1,1,0.8,9.52,49.83,Electronics
1020,421879,2025-03-19 16:05:47.391689,986.78,89,7.01,0,6,16,11.46,34,Other,East,Desktop,113,0,1,0.14,18.34,26.23,Beauty
1021,818315,2025-08-11 16:05:47.391689,613.66,53,8.27,4,9,17,61.48,57,Other,South,Mobile,198,1,0,0.13,5.29,36.17,Clothing
1022,427069,2025-08-29 16:05:47.391689,252.48,42,7.86,0,4,4,111.62,36,Other,South,Tablet,12,1,0,0.64,31.41,6.29,Clothing
1023,876997,2025-07-08 16:05:47.391689,119.75,100,8.18,2,4,19,17.12,69,Other,East,Tablet,270,0,1,0.2,6.07,20.9,Electronics
1024,299041,2025-07-19 16:05:47.391689,169.8,63,4.92,4,0,19,92.91,32,Other,South,Mobile,88,0,1,0.1,49.3,6.29,Beauty
1025,891743,2025-07-21 16:05:47.391689,261.04,27,8.36,2,8,8,52.11,26,Other,North,Mobile,214,0,0,0.17,39.03,57.73,Home
1026,203355,2025-08-15 16:05:47.391689,177.47,38,2.08,4,6,10,80.34,69,Other,South,Desktop,277,0,1,0.92,19.51,48.63,Home
1027,335796,2025-01-28 16:05:47.391689,202.84,60,5.9,2,7,0,34.93,27,Female,South,Mobile,202,1,0,0.82,28.93,28.12,Electronics
1028,314176,2025-03-13 16:05:47.391689,299.39,7,1.05,1,8,17,23.34,61,Other,West,Mobile,73,0,1,0.35,45.57,14.19,Electronics
1029,284779,2025-09-12 16:05:47.391689,189.91,5,3.92,2,5,5,23.45,48,Male,West,Mobile,24,1,1,0.66,27.7,56.07,Electronics
1030,447449,2025-10-16 16:05:47.391689,898.83,45,4.3,1,4,1,13.11,40,Female,West,Desktop,100,1,1,0.54,8.72,21.33,Beauty
1031,521909,2025-01-01 16:05:47.391689,98.63,58,4.57,2,5,14,26.35,69,Other,South,Mobile,175,1,0,0.68,18.94,10.5,Home
1032,358795,2025-04-28 16:05:47.391689,534.02,31,7.26,4,1,13,81.39,47,Male,East,Tablet,116,1,0,0.68,42.16,34.23,Home
1033,586232,2025-08-18 16:05:47.391689,422.19,23,4.5,4,3,4,106.39,50,Other,North,Desktop,165,1,1,0.63,32.21,56.68,Home
1034,600186,2025-01-29 16:05:47.391689,982.73,42,5.04,4,2,5,98.62,69,Male,South,Desktop,40,0,0,0.27,32.54,1.23,Electronics
1035,256730,2025-03-09 16:05:47.391689,129.8,10,3.14,3,6,5,83.79,26,Male,East,Tablet,343,1,1,0.04,43.34,15.05,Home
1036,970910,2025-08-08 16:05:47.391689,409.9,32,4.36,0,8,17,17.7,64,Male,South,Tablet,119,1,1,0.46,44.7,56.37,Clothing
1037,484681,2025-08-06 16:05:47.391689,970.08,53,3.05,4,4,13,38.26,18,Male,North,Tablet,96,0,0,0.89,45.99,11.09,Electronics
1038,249503,2025-10-16 16:05:47.391689,868.2,30,1.66,1,5,9,40.63,61,Female,South,Mobile,144,0,0,0.57,4.74,7.68,Home
1039,754811,2025-08-13 16:05:47.391689,820.73,39,6.43,4,9,13,33.75,52,Female,North,Tablet,215,1,0,0.83,27.21,34.64,Beauty
1040,627035,2025-12-12 16:05:47.391689,272.74,31,7.01,3,1,12,64.23,28,Male,South,Mobile,228,1,0,0.99,37.03,51.85,Electronics
1041,748143,2025-04-18 16:05:47.391689,187.47,82,6.58,1,2,2,66.59,51,Other,North,Desktop,312,0,1,0.16,37.85,29.15,Clothing
1042,552366,2025-02-26 16:05:47.391689,675.27,100,5.17,3,2,5,46.04,33,Male,South,Desktop,129,1,0,0.69,30.34,59.68,Clothing
1043,165725,2025-09-08 16:05:47.391689,930.79,2,4.42,1,8,7,45.69,26,Female,North,Tablet,351,0,0,0.67,8.34,41.07,Beauty
1044,229981,2025-08-09 16:05:47.391689,565.63,78,8.77,2,6,11,100.28,49,Other,West,Mobile,317,0,1,0.98,39.87,5.37,Beauty
1045,184654,2025-08-17 16:05:47.391689,580.18,77,5.67,0,7,12,95.77,32,Female,South,Tablet,136,1,1,0.99,36.01,59.58,Electronics
1046,691723,2025-10-26 16:05:47.391689,294.38,93,5.31,0,9,10,40.4,29,Female,South,Tablet,323,0,1,0.69,4.31,25.07,Electronics
1047,419030,2025-09-15 16:05:47.391689,774.1,12,1.23,3,8,11,110.09,50,Other,East,Mobile,336,1,1,0.24,23.19,17.96,Clothing
1048,428947,2025-04-20 16:05:47.391689,203.3,39,4.07,0,5,0,114.57,62,Male,East,Tablet,272,1,0,0.8,8.7,33.91,Beauty
1049,655839,2025-03-16 16:05:47.391689,337.21,66,4.42,3,3,16,42.58,31,Male,North,Desktop,116,1,0,0.11,16.87,18.95,Electronics
1050,373538,2025-06-07 16:05:47.391689,436.93,96,4.59,3,0,15,45.76,25,Male,South,Tablet,305,0,1,0.78,0.9,6.1,Clothing
1051,431236,2025-06-04 16:05:47.391689,517.46,13,6.22,3,7,10,63.15,25,Male,North,Mobile,93,1,1,0.91,20.02,1.08,Beauty
1052,628178,2025-10-05 16:05:47.391689,257.56,46,5.8,0,6,12,113.23,44,Other,West,Mobile,167,0,0,0.38,27.49,27.53,Clothing
1053,665894,2025-03-10 16:05:47.391689,132.54,27,6.47,3,1,17,105.78,29,Other,East,Desktop,202,1,0,0.63,30.98,50.37,Home
1054,589492,2024-12-29 16:05:47.391689,618.41,17,7.88,0,7,10,16.8,18,Other,North,Mobile,340,1,0,0.43,33.17,34.77,Beauty
1055,356840,2025-04-10 16:05:47.391689,302.86,95,8.32,3,4,11,50.16,60,Female,North,Mobile,148,0,0,0.44,41.81,59.95,Electronics
1056,573254,2025-09-28 16:05:47.391689,589.61,98,7.46,4,6,5,68.64,57,Other,East,Desktop,182,1,0,0.31,10.77,17.92,Electronics
1057,449457,2025-07-12 16:05:47.391689,171.28,60,9.6,3,3,8,62.86,59,Male,South,Tablet,151,1,1,0.76,6.02,17.55,Home
1058,765987,2025-07-22 16:05:47.391689,491.52,64,1.16,1,4,15,27.29,68,Female,North,Desktop,73,0,1,0.94,42.58,10.43,Beauty
1059,370936,2025-09-18 16:05:47.391689,541.94,88,2.76,3,7,3,103.76,28,Male,East,Tablet,364,0,1,0.94,7.83,10.68,Clothing
1060,339931,2025-06-11 16:05:47.391689,70.79,35,1.07,2,0,2,82.85,56,Male,South,Desktop,273,0,1,0.17,48.74,17.83,Electronics
1061,339629,2025-03-03 16:05:47.391689,349.87,70,6.83,3,0,15,101.36,60,Other,West,Tablet,41,1,0,0.87,42.13,47.78,Home
1062,305041,2025-05-07 16:05:47.391689,151.73,83,9.08,1,3,11,103.76,48,Other,East,Desktop,211,0,1,0.74,25.04,54.44,Home
1063,798361,2025-10-05 16:05:47.391689,82.11,30,3.19,1,2,10,91.06,34,Male,North,Tablet,100,0,0,0.25,49.07,58.53,Beauty
1064,831912,2025-10-27 16:05:47.391689,990.16,71,9.34,0,9,4,55.51,50,Male,West,Desktop,44,1,0,0.07,4.87,14.71,Beauty
1065,517113,2025-09-10 16:05:47.391689,335.91,74,1.54,4,1,17,75.21,49,Female,South,Tablet,81,0,0,0.27,15.15,53.0,Electronics
1066,168148,2025-04-19 16:05:47.391689,813.68,96,9.41,3,2,18,23.44,46,Other,South,Desktop,16,1,0,0.91,31.91,20.37,Home
1067,877089,2025-05-23 16:05:47.391689,269.55,98,4.16,0,0,5,82.47,38,Female,East,Mobile,72,1,0,0.63,17.5,7.66,Clothing
1068,748531,2025-05-09 16:05:47.391689,687.87,63,1.91,4,0,17,25.61,38,Female,East,Tablet,13,0,0,0.72,46.42,52.33,Home
1069,351995,2025-01-06 16:05:47.391689,765.02,28,5.37,3,5,5,84.8,57,Female,East,Desktop,156,1,0,0.26,3.28,38.53,Clothing
1070,778843,2025-11-04 16:05:47.391689,603.73,60,3.31,2,4,3,31.4,40,Male,South,Tablet,222,0,1,0.72,27.47,10.72,Clothing
1071,672843,2025-09-04 16:05:47.391689,482.14,79,3.56,3,7,11,18.52,23,Female,West,Tablet,131,0,0,0.03,29.54,26.36,Electronics
1072,356508,2025-02-27 16:05:47.391689,423.6,94,3.77,1,1,18,24.01,39,Female,South,Desktop,337,0,1,0.38,32.64,17.95,Home
1073,903591,2025-04-03 16:05:47.391689,361.89,37,8.23,1,3,1,5.23,67,Male,North,Tablet,46,0,1,0.63,12.78,44.47,Clothing
1074,996942,2025-05-05 16:05:47.391689,930.94,93,5.85,2,7,16,87.66,55,Other,South,Desktop,106,1,0,0.15,18.23,27.75,Beauty
1075,206530,2024-12-21 16:05:47.391689,834.01,22,3.8,0,5,10,89.23,54,Other,North,Mobile,107,1,0,0.82,42.18,59.37,Clothing
1076,704365,2025-11-20 16:05:47.391689,965.73,68,6.49,4,0,10,64.22,62,Female,West,Tablet,264,0,1,0.24,9.75,4.23,Beauty
1077,922352,2025-04-07 16:05:47.391689,141.81,20,7.45,3,3,15,23.56,68,Male,East,Mobile,204,0,1,0.65,41.34,21.95,Beauty
1078,560337,2025-12-03 16:05:47.391689,736.25,96,3.45,1,0,1,14.61,25,Other,East,Tablet,78,1,1,0.41,28.13,29.43,Home
1079,824839,2025-04-11 16:05:47.391689,939.57,100,4.72,0,1,1,7.2,58,Female,South,Tablet,154,0,1,0.6,38.11,30.68,Beauty
1080,905889,2025-01-22 16:05:47.391689,197.61,68,2.1,2,4,7,24.06,66,Female,East,Tablet,270,1,0,0.11,35.68,19.64,Clothing
1081,559773,2025-09-04 16:05:47.391689,85.17,91,2.63,1,7,12,107.45,52,Male,West,Desktop,246,0,0,0.02,10.38,44.03,Beauty
1082,308261,2025-02-26 16:05:47.391689,746.3,64,7.13,2,7,9,32.78,68,Female,East,Mobile,18,1,0,0.91,28.44,52.61,Home
1083,864469,2025-06-16 16:05:47.391689,582.98,17,2.63,3,2,7,45.74,28,Other,South,Tablet,345,1,1,0.27,43.39,56.38,Electronics
1084,441097,2025-05-04 16:05:47.391689,844.99,12,5.73,4,3,3,17.11,41,Male,West,Desktop,25,1,0,0.82,21.61,48.5,Clothing
1085,415139,2025-04-07 16:05:47.391689,156.98,22,7.38,1,9,14,30.57,66,Other,North,Tablet,216,0,1,1.0,48.33,51.18,Clothing
1086,271829,2025-07-19 16:05:47.391689,799.36,17,1.96,1,5,0,64.71,38,Other,South,Desktop,153,0,0,0.21,22.61,33.48,Home
1087,371836,2025-09-08 16:05:47.391689,217.59,10,6.11,3,9,10,74.89,68,Other,North,Tablet,153,0,1,0.27,7.14,49.73,Home
1088,538974,2025-03-31 16:05:47.391689,180.38,65,3.31,0,2,6,33.22,19,Female,West,Mobile,173,0,0,0.66,19.47,18.91,Home
1089,302283,2025-01-22 16:05:47.391689,180.98,22,9.67,4,1,16,11.64,57,Female,South,Mobile,91,0,0,0.97,47.59,24.51,Home
1090,296769,2025-12-09 16:05:47.391689,818.28,90,5.35,1,5,19,49.97,36,Other,South,Tablet,337,1,1,0.92,15.99,19.7,Clothing
1091,661353,2025-11-27 16:05:47.391689,671.89,82,8.25,4,4,17,31.93,56,Other,West,Desktop,180,1,1,0.5,43.4,28.58,Electronics
1092,323165,2025-03-08 16:05:47.391689,532.6,50,5.95,1,9,11,30.25,45,Male,East,Tablet,130,1,1,0.8,44.06,17.85,Beauty
1093,723587,2025-01-11 16:05:47.391689,371.65,14,1.39,4,4,8,115.38,34,Male,South,Desktop,297,1,1,0.14,17.51,57.74,Beauty
1094,635822,2025-04-10 16:05:47.391689,879.66,64,6.7,2,9,4,75.87,23,Female,South,Tablet,274,1,1,0.98,4.16,19.46,Electronics
1095,587879,2025-03-30 16:05:47.391689,404.6,47,9.56,1,4,9,69.04,36,Female,North,Desktop,272,1,0,0.96,36.23,6.78,Electronics
1096,664685,2025-07-06 16:05:47.391689,820.27,29,6.41,4,9,3,52.81,55,Male,East,Mobile,75,1,1,0.16,15.58,32.08,Electronics
1097,882038,2025-01-07 16:05:47.391689,450.35,76,8.37,0,4,4,54.33,45,Other,North,Tablet,176,0,0,0.3,39.15,4.37,Home
1098,453531,2025-07-14 16:05:47.391689,389.41,36,8.96,2,2,9,67.2,19,Female,North,Mobile,183,1,0,0.1,22.13,7.52,Clothing
1099,363160,2025-06-18 16:05:47.391689,473.43,99,3.05,2,6,10,85.09,55,Other,East,Mobile,318,0,0,0.27,24.26,13.94,Clothing
1100,679879,2025-07-03 16:05:47.391689,315.35,52,2.91,0,5,9,85.75,54,Male,East,Tablet,130,1,0,0.82,38.9,28.4,Clothing
1101,320884,2025-11-10 16:05:47.391689,752.66,76,6.5,4,3,7,24.74,68,Female,West,Tablet,362,1,0,0.38,19.12,26.56,Home
1102,123247,2025-06-17 16:05:47.391689,512.67,7,4.7,3,1,1,62.51,69,Female,East,Desktop,48,0,1,0.09,22.16,48.18,Clothing
1103,124300,2025-09-03 16:05:47.391689,247.57,29,8.56,0,8,7,52.38,21,Male,South,Desktop,54,1,1,0.34,18.81,44.63,Home
1104,567281,2025-03-20 16:05:47.391689,901.58,11,9.1,4,0,15,105.11,39,Female,East,Mobile,153,0,0,0.98,18.37,26.15,Clothing
1105,707086,2025-01-24 16:05:47.391689,396.21,33,4.18,0,3,4,77.61,43,Male,West,Desktop,354,1,0,0.63,26.3,20.69,Electronics
1106,633556,2025-10-09 16:05:47.391689,552.68,6,3.13,0,0,2,66.24,66,Female,West,Desktop,199,0,1,0.42,40.44,19.67,Beauty
1107,448951,2025-06-28 16:05:47.391689,908.34,79,8.02,1,5,11,18.27,60,Male,West,Tablet,307,1,1,0.17,18.09,46.67,Beauty
1108,374329,2025-01-17 16:05:47.391689,631.75,32,3.47,4,3,12,74.65,53,Female,East,Desktop,355,0,0,0.99,26.21,4.07,Home
1109,819064,2025-10-31 16:05:47.391689,134.56,51,8.4,3,4,12,18.48,30,Other,East,Mobile,117,0,1,0.82,33.54,1.76,Clothing
1110,842139,2025-10-30 16:05:47.391689,941.04,75,4.81,1,4,9,43.78,69,Other,North,Desktop,262,1,1,0.28,13.47,47.94,Beauty
1111,532315,2025-03-03 16:05:47.391689,635.15,58,7.01,0,8,3,21.43,49,Other,North,Mobile,45,1,1,0.07,13.88,29.15,Electronics
1112,616588,2025-12-01 16:05:47.391689,348.21,87,1.86,0,0,8,84.59,34,Female,South,Tablet,301,0,0,0.06,46.67,8.72,Electronics
1113,336584,2025-09-09 16:05:47.391689,156.49,26,6.61,0,1,1,28.72,58,Female,North,Mobile,355,1,1,0.12,36.18,14.9,Electronics
1114,662332,2025-02-14 16:05:47.391689,798.14,98,5.07,4,5,18,50.06,53,Other,South,Desktop,188,0,0,0.58,28.86,56.02,Home
1115,937646,2025-04-04 16:05:47.391689,627.67,46,6.28,4,4,0,108.0,63,Other,West,Tablet,309,1,0,0.93,32.39,51.71,Home
1116,476896,2025-04-15 16:05:47.391689,542.79,98,2.51,1,6,6,28.5,36,Male,North,Desktop,317,0,0,0.5,1.46,42.88,Clothing
1117,148984,2025-11-08 16:05:47.391689,896.01,29,7.63,3,2,16,63.4,52,Male,East,Tablet,128,1,0,0.84,30.91,29.45,Electronics
1118,402918,2025-05-12 16:05:47.391689,792.83,4,8.77,1,2,2,53.22,63,Male,North,Tablet,48,0,0,0.45,25.48,31.7,Clothing
1119,364712,2025-01-10 16:05:47.391689,168.64,81,2.95,2,9,19,7.08,57,Other,South,Desktop,24,1,1,0.71,27.29,58.54,Clothing
1120,220151,2025-09-14 16:05:47.391689,325.49,99,1.86,0,1,19,96.17,45,Other,North,Desktop,265,0,0,0.73,17.97,57.98,Electronics
1121,555808,2025-03-24 16:05:47.391689,263.52,13,1.21,0,2,2,12.94,18,Other,West,Tablet,117,0,0,0.17,4.07,13.7,Clothing
1122,233767,2025-09-11 16:05:47.391689,749.07,39,6.78,0,9,2,59.54,59,Male,East,Tablet,143,1,0,0.36,9.67,48.86,Beauty
1123,748663,2025-09-14 16:05:47.391689,52.86,15,6.46,1,0,16,69.48,35,Female,South,Desktop,199,1,1,0.64,47.54,12.64,Home
1124,803550,2025-08-20 16:05:47.391689,578.49,29,5.92,1,4,6,77.27,65,Other,East,Mobile,156,0,1,0.07,20.43,13.6,Clothing
1125,236330,2025-08-30 16:05:47.391689,767.21,29,3.09,0,4,13,84.19,57,Female,East,Desktop,347,0,1,0.36,23.33,40.89,Electronics
1126,580754,2025-05-31 16:05:47.391689,879.23,75,4.52,1,6,16,34.13,50,Female,South,Tablet,133,0,1,0.53,2.64,24.9,Home
1127,401648,2025-02-02 16:05:47.391689,355.24,32,6.35,4,3,17,6.15,29,Female,East,Desktop,147,0,1,1.0,1.88,55.96,Home
1128,788519,2025-08-21 16:05:47.391689,824.83,2,5.47,4,2,12,88.2,25,Male,East,Mobile,335,1,1,0.47,35.86,6.25,Clothing
1129,113986,2025-09-29 16:05:47.391689,128.42,47,9.89,1,0,19,66.6,41,Female,North,Desktop,70,0,1,0.82,26.9,31.18,Beauty
1130,686146,2025-05-10 16:05:47.391689,849.52,78,2.23,0,7,19,101.15,33,Other,East,Tablet,232,0,0,0.43,25.44,55.19,Clothing
1131,229312,2025-03-11 16:05:47.391689,144.94,84,7.26,1,2,17,99.46,67,Male,East,Desktop,333,0,0,0.8,12.16,54.34,Beauty
1132,112666,2025-04-08 16:05:47.391689,409.34,22,4.64,1,1,3,101.98,21,Other,East,Tablet,298,1,1,0.6,37.24,10.24,Home
1133,400804,2025-07-02 16:05:47.391689,801.35,75,4.85,1,3,0,60.79,55,Other,East,Tablet,153,0,0,0.89,8.41,22.63,Clothing
1134,234633,2024-12-21 16:05:47.391689,166.92,27,7.46,2,2,17,43.37,61,Male,South,Desktop,89,1,0,0.41,9.5,37.53,Electronics
1135,388998,2025-06-04 16:05:47.391689,244.67,67,7.23,4,0,0,96.03,44,Other,West,Tablet,333,1,1,0.6,23.04,10.4,Clothing
1136,950937,2025-04-30 16:05:47.391689,727.81,81,9.92,3,2,12,56.9,26,Other,North,Tablet,198,1,0,0.63,14.31,58.11,Beauty
1137,728776,2025-06-19 16:05:47.391689,725.64,56,2.16,3,1,19,26.1,64,Male,East,Mobile,160,1,0,0.42,12.37,54.97,Beauty
1138,807611,2025-09-05 16:05:47.391689,648.32,92,1.94,2,7,19,103.32,33,Other,East,Mobile,25,1,1,0.14,32.26,10.85,Clothing
1139,384806,2025-11-07 16:05:47.391689,700.07,93,7.52,1,5,9,106.49,29,Female,South,Mobile,120,1,0,0.09,32.55,8.15,Beauty
