CustomerID,Recency,Frequency,Monetary,LoyaltyScore,AvgBasketSize,Returns,SupportTickets,ReferralCount,AvgSessionTime,segment_id,segment_name,churn,churn_prediction,churn_probability
1088,258,1,180.38,65,3.31,0,2,6,33.22,0,Needs Attention,1,1.0,1.0
1238,149,1,237.53,20,2.32,3,8,16,8.58,0,Needs Attention,0,0.0,0.0
1342,203,1,93.64,92,1.65,4,5,0,45.82,2,Champions,1,1.0,1.0
1025,146,1,261.04,27,8.36,2,8,8,52.11,1,Occasional Shoppers,0,0.0,0.0
1084,224,1,844.99,12,5.73,4,3,3,17.11,2,Champions,1,1.0,1.0
1127,315,1,355.24,32,6.35,4,3,17,6.15,0,Needs Attention,1,1.0,1.0
1395,107,1,353.08,5,3.57,3,1,19,12.19,0,Needs Attention,0,0.0,0.0
1460,320,1,969.72,50,7.5,4,6,16,30.15,1,Occasional Shoppers,1,1.0,1.0
1483,188,1,662.14,5,5.48,4,9,3,105.13,1,Occasional Shoppers,1,1.0,1.0
1139,37,1,700.07,93,7.52,1,5,9,106.49,3,Loyalists,0,0.0,0.0
1143,191,1,197.97,59,1.77,4,2,4,97.41,2,Champions,1,1.0,1.0
1270,2,1,282.7,41,1.56,2,6,16,95.13,2,Champions,0,0.0,0.0
1303,83,1,222.29,45,1.99,2,5,7,87.24,2,Champions,0,0.0,0.0
1322,283,1,401.51,74,4.94,0,0,17,57.34,3,Loyalists,1,1.0,1.0
1339,24,1,347.56,20,1.38,3,2,4,110.95,2,Champions,0,0.0,0.0
1352,289,1,598.43,100,2.67,0,7,0,104.24,3,Loyalists,1,1.0,1.0
1265,48,1,821.09,9,2.28,0,7,5,9.64,0,Needs Attention,0,0.0,0.0
1223,365,1,412.75,8,2.56,3,9,15,35.99,0,Needs Attention,1,1.0,1.0
1157,218,1,702.72,64,5.8,0,5,12,119.68,3,Loyalists,1,1.0,1.0
1466,258,1,763.07,43,1.03,4,3,4,70.69,2,Champions,1,1.0,1.0
1005,102,1,601.72,77,4.54,3,8,7,57.25,1,Occasional Shoppers,0,0.0,0.0
1016,356,1,375.82,48,7.65,1,0,14,56.05,3,Loyalists,1,1.0,1.0
1133,165,1,801.35,75,4.85,1,3,0,60.79,3,Loyalists,0,0.0,0.0
1160,20,1,169.49,12,7.03,2,6,6,30.31,0,Needs Attention,0,0.0,0.0
1199,8,1,32.83,60,1.79,4,7,4,22.99,0,Needs Attention,0,0.0,0.0
1212,322,1,900.09,94,9.38,4,4,18,85.06,1,Occasional Shoppers,1,1.0,1.0
1417,184,1,490.28,20,5.55,0,4,15,99.57,3,Loyalists,1,1.0,1.0
